cluster,preference_rank,main_question,sub_question,cumulative_score,n_responses
Cluster 1,1,Computational methods and AI: specify your training needs You can skip topics that are not relevant,AI-assisted coding and analysis,68,67
Cluster 1,2,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Sharing and reusing life science data,58,62
Cluster 1,3,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Making bioinformatics workflows findable and citable,57,65
Cluster 1,4,Computational methods and AI: specify your training needs You can skip topics that are not relevant,"Applications of advanced AI techniques (agentic AI, MCP and RAGs)",55,64
Cluster 1,5,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Using large language models (LLM) for biomedical knowledge extraction,55,60
Cluster 1,6,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Using AI for biomedicine,52,63
Cluster 1,7,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Using GitHub actions and CI/CD,51,63
Cluster 1,8,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Applying the FAIR principles for data,50,62
Cluster 1,9,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Concepts in cloud computing for bioinformatics,49,63
Cluster 1,10,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Building and querying knowledge graphs,44,59
Cluster 1,11,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Introduction to the rust language,26,60
Cluster 1,12,Omics analysis: specify your training needs You can skip topics that are not relevant,Imaging and omics data integration,25,45
Cluster 1,13,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Medical image analysis,25,44
Cluster 1,14,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Using public databases for pathogen data analysis,18,45
Cluster 1,15,Omics analysis: specify your training needs You can skip topics that are not relevant,Design and validation of CRISPR-based screens,12,44
Cluster 1,16,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Epidemiology modelling,11,42
Cluster 1,17,Omics analysis: specify your training needs You can skip topics that are not relevant,Metabolomics data analysis,11,42
Cluster 1,18,Omics analysis: specify your training needs You can skip topics that are not relevant,Proteomics data analysis,10,44
Cluster 1,19,Omics analysis: specify your training needs You can skip topics that are not relevant,"Single-cell multiomics: RNA and ATAC-seq, and other RNA and surface proteins",10,42
Cluster 1,20,Omics analysis: specify your training needs You can skip topics that are not relevant,Mass spectrometry data analysis,10,41
Cluster 1,21,Omics analysis: specify your training needs You can skip topics that are not relevant,Eukaryotic genome assembly and annotation,8,42
Cluster 1,22,Omics analysis: specify your training needs You can skip topics that are not relevant,Metabolic modeling,8,41
Cluster 1,23,Biodiversity and Ecology: specify your training needs You can skip topics that are not relevant,Phylogenetics data analysis,6,37
